"Rank","Player","Year","Pos","Team","AAV",""
"","Max Scherzer","2023","SP","NYM","$43,333,333",""
"","Justin Verlander","2023","SP","NYM","$43,333,333",""
"","Aaron Judge","2023","CF","NYY","$40,000,000",""
"","Anthony Rendon","2023","3B","LAA","$35,000,000",""
"","Mike Trout","2023","CF","LAA","$35,541,667",""
"","Gerrit Cole","2023","SP","NYY","$36,000,000",""
"","Corey Seager","2023","SS","TEX","$32,500,000",""
"","Stephen Strasburg","2023","SP","WSH","$35,000,000",""
"","Nolan Arenado","2023","3B","STL","$32,500,000",""
"","Francisco Lindor","2023","SS","NYM","$34,100,000",""
"","Carlos Correa","2023","SS","MIN","$33,333,333",""
"","Miguel Cabrera","2023","DH","DET","$31,000,000",""
"","Giancarlo Stanton","2023","RF","NYY","$25,000,000",""
"","Alex Bregman","2023","3B","HOU","$20,000,000",""
"","Jacob deGrom","2023","SP","TEX","$37,000,000",""
"","Shohei Ohtani","2023","SP","LAA","$30,000,000",""
"","Jose Altuve","2023","2B","HOU","$23,357,143",""
"","Kris Bryant","2023","RF","COL","$26,000,000",""
"","Bryce Harper","2023","RF","PHI","$25,384,615",""
"","Chris Sale","2023","SP","BOS","$29,000,000",""
"","Trea Turner","2023","SS","PHI","$27,272,727",""
"","Freddie Freeman","2023","1B","LAD","$27,000,000",""
"","Marcus Semien","2023","2B","TEX","$25,000,000",""
"","Christian Yelich","2023","LF","MIL","$26,928,571",""
"","Paul Goldschmidt","2023","1B","STL","$26,000,000",""
"","Xander Bogaerts","2023","SS","SD","$25,454,545",""
"","Yu Darvish","2023","SP","SD","$18,000,000",""
"","Mookie Betts","2023","SS","LAD","$30,416,667",""
"","Joey Votto","2023","1B","CIN","$22,500,000",""
"","Marcus Stroman","2023","SP","CHC","$23,666,667",""
"","Zack Wheeler","2023","SP","PHI","$23,600,000",""
"","Patrick Corbin","2023","SP","WSH","$23,333,333",""
"","George Springer","2023","RF","TOR","$25,000,000",""
"","J.T. Realmuto","2023","C","PHI","$23,100,000",""
"","Juan Soto","2023","LF","SD","$23,000,000",""
"","Carlos Rodon","2023","SP","NYY","$27,000,000",""
"","Javier Baez","2023","SS","DET","$23,333,333",""
"","Matt Olson","2023","1B","ATL","$21,000,000",""
"","Josh Donaldson","2023","3B","NYY","$23,000,000",""
"","Kevin Gausman","2023","SP","TOR","$22,000,000",""
"","Robbie Ray","2023","SP","SEA","$23,000,000",""
"","Starling Marte","2023","RF","NYM","$19,500,000",""
"","Miles Mikolas","2023","SP","STL","$18,583,333",""
"","Joe Musgrove","2023","SP","SD","$20,000,000",""
"","Clayton Kershaw","2023","SP","LAD","$20,000,000",""
"","Charlie Morton","2023","SP","ATL","$20,000,000",""
"","Hyun-Jin Ryu","2023","SP","TOR","$20,000,000",""
"","Salvador Perez","2023","C","KC","$20,500,000",""
"","Nick Castellanos","2023","RF","PHI","$20,000,000",""
"","Kyle Schwarber","2023","LF","PHI","$19,750,000",""
"","Trevor Story","2023","SS","BOS","$23,333,333",""
"","Martin Perez","2023","SP","TEX","$19,650,000",""
"","Joc Pederson","2023","LF","SF","$19,650,000",""
"","Edwin Diaz","2023","RP/CL","NYM","$20,400,000",""
"","Jose Abreu","2023","1B","HOU","$19,500,000",""
"","Rafael Devers","2023","3B","BOS","$31,350,000",""
"","Chris Bassitt","2023","SP","TOR","$21,000,000",""
"","Lance Lynn","2023","SP","CHW","$19,000,000",""
"","Adam Wainwright","2023","SP","STL","$17,500,000",""
"","Brandon Nimmo","2023","CF","NYM","$20,250,000",""
"","Yasmani Grandal","2023","C","CHW","$18,250,000",""
"","Michael Conforto","2023","RF","SF","$18,000,000",""
"","Taijuan Walker","2023","SP","PHI","$18,000,000",""
"","Seiya Suzuki","2023","RF","CHC","$17,000,000",""
"","Yoan Moncada","2023","3B","CHW","$14,000,000",""
"","Manny Machado","2023","3B","SD","$31,818,182",""
"","Nathan Eovaldi","2023","SP","TEX","$17,000,000",""
"","Ronald Acuna Jr.","2023","RF","ATL","$12,500,000",""
"","Anthony Rizzo","2023","1B","NYY","$20,000,000",""
"","Blake Snell","2023","SP","SD","$10,000,000",""
"","Josh Bell","2023","1B","CLE","$16,500,000",""
"","Raisel Iglesias","2023","RP/CL","ATL","$14,500,000",""
"","Marcell Ozuna","2023","LF","ATL","$16,250,000",""
"","Brandon Crawford","2023","SS","SF","$16,000,000",""
"","Aaron Nola","2023","SP","PHI","$11,250,000",""
"","Kenley Jansen","2023","RP/CL","BOS","$16,000,000",""
"","Lance McCullers","2023","SP","HOU","$17,000,000",""
"","Jose Berrios","2023","SP","TOR","$18,714,286",""
"","Masataka Yoshida","2023","LF","BOS","$18,000,000",""
"","Charlie Blackmon","2023","RF","COL","$18,000,000",""
"","German Marquez","2023","SP","COL","$8,600,000",""
"","Byron Buxton","2023","CF","MIN","$14,285,714",""
"","Chris Taylor","2023","3B","LAD","$15,000,000",""
"","Jon Gray","2023","SP","TEX","$14,000,000",""
"","Austin Riley","2023","3B","ATL","$21,200,000",""
"","D.J. LeMahieu","2023","3B","NYY","$15,000,000",""
"","Luis Severino","2023","SP","NYY","$10,000,000",""
"","Jorge Soler","2023","DH","MIA","$12,000,000",""
"","Kodai Senga","2023","SP","NYM","$15,000,000",""
"","Vladimir Guerrero Jr.","2023","1B","TOR","$14,500,000",""
"","Pete Alonso","2023","1B","NYM","$14,500,000",""
"","Liam Hendriks","2023","RP/CL","CHW","$18,000,000",""
"","Julio Urias","2023","SP","LAD","$14,250,000",""
"","Josh Hader","2023","RP/CL","SD","$14,100,000",""
"","Eduardo Rodriguez","2023","SP","DET","$15,400,000",""
"","Ryan Pressly","2023","RP/CL","HOU","$15,000,000",""
"","Teoscar Hernandez","2023","RF","SEA","$14,000,000",""
"","Jose Ramirez","2023","3B","CLE","$20,142,857",""
"","Dansby Swanson","2023","SS","CHC","$25,285,714",""
"","Kyle Hendricks","2023","SP","CHC","$13,875,000",""
"","Jameson Taillon","2023","SP","CHC","$17,000,000",""
"","Carlos Carrasco","2023","SP","NYM","$11,750,000",""
"","Max Muncy","2023","1B","LAD","$13,500,000",""
"","Max Fried","2023","SP","ATL","$13,500,000",""
"","Noah Syndergaard","2023","SP","LAD","$13,000,000",""
"","Tyler Anderson","2023","SP","LAA","$13,000,000",""
"","Jose Quintana","2023","SP","NYM","$13,000,000",""
"","Sonny Gray","2023","SP","MIN","$10,166,667",""
"","Jake Odorizzi","2023","RP","TEX","$7,833,333",""
"","Tim Anderson","2023","SS","CHW","$4,166,667",""
"","Alex Wood","2023","SP","SF","$12,500,000",""
"","Matt Chapman","2023","3B","TOR","$12,500,000",""
"","James McCann","2023","C","BAL","$10,150,000",""
"","Andrew Heaney","2023","SP","TEX","$12,500,000",""
"","Anthony DeSclafani","2023","SP","SF","$12,000,000",""
"","Avisail Garcia","2023","RF","MIA","$13,250,000",""
