"Rank","Player","Year","Pos","Team","AAV",""
"","Stephen Curry","2023","PG","GSW","$53,838,416",""
"","Kevin Durant","2023","SF","PHX","$48,554,830",""
"","Nikola Jokic","2023","C","DEN","$55,216,000",""
"","LeBron James","2023","PF","LAL","$49,504,000",""
"","Joel Embiid","2023","C","PHI","$53,312,000",""
"","Bradley Beal","2023","SG","PHX","$50,203,930",""
"","Paul George","2023","SG","LAC","$44,066,367",""
"","Kawhi Leonard","2023","SF","LAC","$44,066,288",""
"","Damian Lillard","2023","PG","POR","$44,066,288",""
"","Giannis Antetokounmpo","2023","PF","MIL","$45,640,084",""
"","Jimmy Butler","2023","SF","MIA","$48,798,677",""
"","Klay Thompson","2023","SG","GSW","$37,980,720",""
"","Rudy Gobert","2023","C","MIN","$41,000,000",""
"","Anthony Davis","2023","C","LAL","$37,980,720",""
"","Luka Doncic","2023","PG","DAL","$43,031,940",""
"","Zach LaVine","2023","SG","CHI","$43,031,940",""
"","Trae Young","2023","PG","ATL","$43,031,940",""
"","Tobias Harris","2023","PF","PHI","$36,000,000",""
"","Ben Simmons","2023","PG","BKN","$35,448,672",""
"","Pascal Siakam","2023","PF","TOR","$34,226,304",""
"","Jrue Holiday","2023","PG","MIL","$33,749,333",""
"","Karl-Anthony Towns","2023","C","MIN","$31,650,600",""
"","Kristaps Porzingis","2023","PF","BOS","$31,650,600",""
"","Devin Booker","2023","SG","PHX","$31,650,600",""
"","C.J. McCollum","2023","SG","NOP","$33,333,333",""
"","James Harden","2023","SG","PHI","$34,320,000",""
"","Zion Williamson","2023","PF","NOP","$39,440,000",""
"","Ja Morant","2023","PG","MEM","$39,440,000",""
"","Darius Garland","2023","PG","CLE","$39,440,000",""
"","Brandon Ingram","2023","SF","NOP","$31,650,600",""
"","Jamal Murray","2023","PG","DEN","$31,650,600",""
"","Michael Porter Jr.","2023","SF","DEN","$35,859,950",""
"","Shai Gilgeous-Alexander","2023","PG","OKC","$35,859,950",""
"","Donovan Mitchell","2023","SG","CLE","$32,600,060",""
"","Jayson Tatum","2023","PF","BOS","$32,600,060",""
"","De'Aaron Fox","2023","PG","SAC","$32,600,060",""
"","Bam Adebayo","2023","C","MIA","$32,600,060",""
"","Deandre Ayton","2023","C","PHX","$33,232,282",""
"","Jaylen Brown","2023","SF","BOS","$26,583,334",""
"","Gordon Hayward","2023","SF","CHA","$30,000,000",""
"","Chris Paul","2023","PG","GSW","$30,000,000",""
"","Kyle Lowry","2023","PG","MIA","$28,333,334",""
"","DeMar DeRozan","2023","SF","CHI","$27,300,000",""
"","Julius Randle","2023","PF","NYK","$29,272,320",""
"","Jordan Poole","2023","SG","WAS","$32,000,000",""
"","Jaren Jackson Jr.","2023","PF","MEM","$26,180,000",""
"","Tyler Herro","2023","SG","MIA","$30,000,000",""
"","Jalen Brunson","2023","PG","NYK","$26,000,000",""
"","John Collins","2023","PF","ATL","$25,000,000",""
"","Mike Conley","2023","PG","MIN","$22,680,000",""
"","Andrew Wiggins","2023","SF","GSW","$27,250,001",""
"","Anfernee Simons","2023","SG","POR","$25,000,000",""
"","R.J. Barrett","2023","SG","NYK","$26,750,000",""
"","Terry Rozier","2023","PG","CHA","$24,064,674",""
"","Malcolm Brogdon","2023","PG","BOS","$22,500,000",""
"","Aaron Gordon","2023","PF","DEN","$21,660,000",""
"","Domantas Sabonis","2023","PF","SAC","$18,725,000",""
"","Mikal Bridges","2023","SF","BKN","$22,725,000",""
"","Myles Turner","2023","C","IND","$20,451,750",""
"","Eric Gordon","2023","SG","LAC","$18,893,589",""
"","Clint Capela","2023","C","ATL","$22,940,640",""
"","Lonzo Ball","2023","PG","CHI","$20,000,000",""
"","Spencer Dinwiddie","2023","PG","BKN","$18,000,000",""
"","De'Andre Hunter","2023","SF","ATL","$22,500,000",""
"","Bojan Bogdanovic","2023","SF","DET","$19,516,425",""
"","Keldon Johnson","2023","SF","SAS","$18,500,000",""
"","Jarrett Allen","2023","C","CLE","$20,000,000",""
"","Joe Harris","2023","SG","BKN","$18,750,000",""
"","Buddy Hield","2023","SG","IND","$23,500,000",""
"","Marcus Smart","2023","PG","MEM","$19,121,999",""
"","Evan Fournier","2023","SG","NYK","$18,250,000",""
"","Bogdan Bogdanovic","2023","SG","ATL","$17,000,000",""
"","OG Anunoby","2023","SF","TOR","$18,000,000",""
"","Gary Trent Jr.","2023","SG","TOR","$17,280,000",""
"","Derrick White","2023","PG","BOS","$17,500,000",""
"","Dejounte Murray","2023","PG","ATL","$16,000,000",""
"","Duncan Robinson","2023","SF","MIA","$18,000,000",""
"","Norman Powell","2023","SG","LAC","$18,000,000",""
"","Tim Hardaway Jr.","2023","SG","DAL","$18,750,000",""
"","Jonathan Isaac","2023","PF","ORL","$17,400,000",""
"","Collin Sexton","2023","PG","UTA","$17,737,500",""
"","Lauri Markkanen","2023","PF","UTA","$16,867,727",""
"","Marcus Morris Sr.","2023","SF","LAC","$16,000,000",""
"","Davis Bertans","2023","PF","OKC","$16,000,000",""
"","Markelle Fultz","2023","PG","ORL","$16,666,667",""
"","Jusuf Nurkic","2023","C","POR","$17,500,000",""
"","Malik Beasley","2023","SG","LAL","$15,000,000",""
"","Kevin Porter Jr.","2023","PG","HOU","$15,860,000",""
"","Mitchell Robinson","2023","C","NYK","$15,000,000",""
"","Kevin Huerter","2023","SG","SAC","$16,250,000",""
"","Derrick Rose","2023","PG","NYK","$14,520,730",""
"","Jonas Valanciunas","2023","C","NOP","$15,067,500",""
"","Luguentz Dort","2023","SG","OKC","$16,500,000",""
"","Luke Kennard","2023","SG","MEM","$14,000,000",""
"","Kentavious Caldwell-Pope","2023","SG","DEN","$15,072,562",""
"","Jordan Clarkson","2023","SG","UTA","$12,880,000",""
"","Tyus Jones","2023","PG","WAS","$14,500,000",""
"","Dorian Finney-Smith","2023","PF","BKN","$13,890,240",""
"","Doug McDermott","2023","SF","SAS","$13,750,000",""
"","Anthony Edwards","2023","SG","MIN","$11,067,784",""
"","Wendell Carter Jr.","2023","C","ORL","$12,500,000",""
"","Gary Harris","2023","SG","ORL","$13,000,000",""
"","Josh Hart","2023","SG","NYK","$12,640,000",""
"","Steven Adams","2023","C","MEM","$12,600,000",""
"","Marvin Bagley III","2023","PF","DET","$12,500,000",""
"","Brandon Clarke","2023","PF","MEM","$12,500,000",""
"","Daniel Gafford","2023","C","WAS","$13,394,160",""
"","Kelly Olynyk","2023","PF","UTA","$12,398,374",""
"","James Wiseman","2023","C","DET","$9,904,960",""
"","Devonte' Graham","2023","PG","SAS","$11,825,000",""
"","Richaun Holmes","2023","C","DAL","$11,630,640",""
"","Chris Boucher","2023","PF","TOR","$11,750,000",""
"","Nicolas Batum","2023","SF","LAC","$11,277,084",""
"","Bobby Portis","2023","PF","MIL","$12,144,552",""
"","Robert Covington","2023","PF","LAC","$12,000,000",""
"","Paolo Banchero","2023","PF","ORL","$12,539,692",""
"","Robert Williams III","2023","C","BOS","$12,000,000",""
"","Cade Cunningham","2023","PG","DET","$11,399,772",""
"","Talen Horton-Tucker","2023","SG","UTA","$10,260,000",""
"","P.J. Tucker","2023","PF","PHI","$11,014,500",""
"","Maxi Kleber","2023","PF","DAL","$11,000,000",""
"","Ivica Zubac","2023","C","LAC","$10,933,333",""
"","LaMelo Ball","2023","PG","CHA","$8,899,069",""
"","Terance Mann","2023","SG","LAC","$11,000,000",""
"","Reggie Bullock","2023","SF","DAL","$10,012,800",""
"","Alec Burks","2023","SG","DET","$10,012,800",""
"","Chet Holmgren","2023","C","OKC","$11,222,312",""
"","Larry Nance Jr.","2023","PF","NOP","$10,790,000",""
"","Mohamed Bamba","2023","C","LAL","$10,300,000",""
"","Landry Shamet","2023","SG","WAS","$10,625,000",""
"","Al Horford","2023","C","BOS","$9,750,000",""
"","Malik Monk","2023","SG","SAC","$9,709,025",""
"","Jalen Green","2023","SG","HOU","$10,202,112",""
"","Patrick Williams","2023","SF","CHI","$8,025,410",""
"","Monte Morris","2023","PG","WAS","$9,258,332",""
"","Nicolas Claxton","2023","C","BKN","$8,625,000",""
"","Royce O'Neale","2023","SF","BKN","$9,000,000",""
"","Alex Caruso","2023","SG","CHI","$9,245,000",""
"","Victor Oladipo","2023","SG","MIA","$9,100,000",""
"","Pat Connaughton","2023","SG","MIL","$9,423,869",""
"","Jabari Smith Jr.","2023","PF","HOU","$10,082,608",""
"","Isaiah Hartenstein","2023","C","NYK","$8,000,000",""
"","Kyle Anderson","2023","PF","MIN","$9,000,000",""
"","Daniel Theis","2023","C","IND","$8,901,378",""
"","Grayson Allen","2023","SG","MIL","$9,350,000",""
"","Isaac Okoro","2023","SG","CLE","$7,270,829",""
"","Evan Mobley","2023","PF","CLE","$9,166,044",""
"","Gary Payton II","2023","PG","GSW","$8,715,000",""
"","T.J. McConnell","2023","PG","IND","$8,400,000",""
"","Keegan Murray","2023","PF","SAC","$9,092,773",""
"","Delon Wright","2023","PG","WAS","$8,000,000",""
"","Onyeka Okongwu","2023","C","ATL","$6,605,536",""
"","Scottie Barnes","2023","PF","TOR","$8,266,165",""
"","Thaddeus Young","2023","PF","TOR","$8,000,000",""
"","De'Anthony Melton","2023","SG","PHI","$8,656,922",""
"","Zach Collins","2023","C","SAS","$7,350,000",""
"","Jaden Ivey","2023","SG","DET","$8,237,771",""
"","Cody Martin","2023","SF","CHA","$7,840,000",""
"","Kevon Looney","2023","C","GSW","$7,500,000",""
"","Taurean Prince","2023","PF","MIN","$7,277,500",""
"","Killian Hayes","2023","PG","DET","$6,032,879",""
"","Jalen Suggs","2023","SG","ORL","$7,488,926",""
"","Khem Birch","2023","C","SAS","$6,667,500",""
"","Bennedict Mathurin","2023","SG","IND","$7,484,043",""
"","Obi Toppin","2023","PF","NYK","$5,529,623",""
"","Danilo Gallinari","2023","PF","WAS","$6,640,975",""
"","Patty Mills","2023","PG","BKN","$6,640,975",""
"","Caleb Martin","2023","SF","MIA","$6,802,950",""
"","Cedi Osman","2023","SF","CLE","$7,779,711",""
"","Josh Giddey","2023","SG","OKC","$6,803,702",""
"","Cameron Payne","2023","PG","PHX","$6,333,333",""
"","Jae’Sean Tate","2023","SF","HOU","$6,876,811",""
"","Rudy Gay","2023","PF","UTA","$6,184,500",""
"","Shaedon Sharpe","2023","SG","POR","$6,835,226",""
"","Otto Porter Jr.","2023","SF","TOR","$6,150,000",""
"","Deni Avdija","2023","SF","WAS","$5,085,337",""
"","Nassir Little","2023","SF","POR","$7,000,000",""
"","Kenrich Williams","2023","PF","OKC","$6,792,500",""
"","Ricky Rubio","2023","PG","CLE","$6,146,342",""
"","Jonathan Kuminga","2023","PF","GSW","$6,213,837",""
"","Devin Vassell","2023","SG","SAS","$4,648,375",""
"","Tyrese Haliburton","2023","PG","IND","$4,469,749",""
"","Dyson Daniels","2023","PG","NOP","$6,264,987",""
"","JaVale McGee","2023","C","DAL","$5,734,280",""
"","Kira Lewis Jr.","2023","PG","NOP","$4,297,209",""
"","Dean Wade","2023","PF","CLE","$6,166,667",""
"","Aaron Nesmith","2023","SF","IND","$4,132,054",""
"","Cole Anthony","2023","PG","ORL","$3,971,993",""
"","Franz Wagner","2023","SF","ORL","$5,695,483",""
"","Garrett Temple","2023","SG","NOP","$5,155,500",""
"","Furkan Korkmaz","2023","SG","PHI","$5,000,000",""
"","Jeremy Sochan","2023","PF","SAS","$5,761,688",""
"","Isaiah Stewart","2023","C","DET","$3,774,548",""
"","Chuma Okeke","2023","PF","ORL","$3,774,548",""
"","Davion Mitchell","2023","PG","SAC","$5,237,879",""
"","Johnny Davis","2023","SG","WAS","$5,474,627",""
"","Jalen Smith","2023","PF","IND","$5,043,773",""
"","Aleksej Pokusevski","2023","PF","OKC","$3,587,278",""
"","Nick Richards","2023","C","CHA","$5,000,000",""
"","Ziaire Williams","2023","SF","MEM","$4,976,981",""
"","Ousmane Dieng","2023","SF","OKC","$5,266,551",""
"","Josh Green","2023","SG","DAL","$3,409,505",""
"","Donte DiVincenzo","2023","SG","GSW","$4,612,500",""
"","Jarred Vanderbilt","2023","PF","LAL","$4,374,000",""
"","James Bouknight","2023","SG","CHA","$4,787,804",""
"","Jalen Williams","2023","SF","OKC","$5,064,229",""
"","Saddiq Bey","2023","SF","ATL","$3,257,576",""
"","Precious Achiuwa","2023","PF","TOR","$3,128,282",""
"","Tyrese Maxey","2023","PG","PHI","$3,038,140",""
"","Jalen Duren","2023","C","DET","$4,868,736",""
"","Danuel House Jr.","2023","SF","PHI","$4,207,625",""
