"Rank","Player","Year","Pos","Team","AAV",""
"","Patrick Mahomes","2023","QB","KC","$45,000,000",""
"","Ryan Tannehill","2023","QB","TEN","$29,500,000",""
"","Leonard Williams","2023","DE","NYG","$21,000,000",""
"","Jared Goff","2023","QB","DET","$33,500,000",""
"","T.J. Watt","2023","OLB","PIT","$28,002,750",""
"","Myles Garrett","2023","DE","CLE","$25,000,000",""
"","Jake Matthews","2023","LT","ATL","$18,333,333",""
"","Chris Jones","2023","DT","KC","$20,000,000",""
"","Trent Williams","2023","LT","SF","$23,010,000",""
"","Dak Prescott","2023","QB","DAL","$40,000,000",""
"","Laremy Tunsil","2023","LT","HOU","$25,000,000",""
"","Aaron Donald","2023","DT","LAR","$31,666,667",""
"","Arik Armstead","2023","DE","SF","$17,000,000",""
"","Jimmy Garoppolo","2023","QB","LV","$24,250,000",""
"","Amari Cooper","2023","WR","CLE","$20,000,000",""
"","Mike Evans","2023","WR","TB","$16,500,000",""
"","Ronnie Stanley","2023","LT","BAL","$19,750,000",""
"","Cameron Heyward","2023","DE","PIT","$16,400,000",""
"","Cam Robinson","2023","LT","JAC","$18,000,000",""
"","Joe Thuney","2023","G","KC","$16,000,000",""
"","Lamar Jackson","2023","QB","BAL","$52,000,000",""
"","Russell Wilson","2023","QB","DEN","$48,517,647",""
"","Daniel Jones","2023","QB","NYG","$40,000,000",""
"","C.J. Mosley","2023","ILB","NYJ","$17,000,000",""
"","Jonathan Allen","2023","DT","WAS","$18,000,000",""
"","David Bakhtiari","2023","LT","GB","$23,000,000",""
"","Shaquil Barrett","2023","OLB","TB","$17,000,000",""
"","Grady Jarrett","2023","DT","ATL","$16,823,333",""
"","Kirk Cousins","2023","QB","MIN","$35,000,000",""
"","D.J. Moore","2023","WR","CHI","$20,628,000",""
"","Matthew Stafford","2023","QB","LAR","$40,000,000",""
"","Marlon Humphrey","2023","CB","BAL","$19,500,000",""
"","Shaquille Leonard","2023","ILB","IND","$19,700,000",""
"","Brian O'Neill","2023","RT","MIN","$18,500,000",""
"","Kevin Byard","2023","FS","TEN","$14,100,000",""
"","Taylor Decker","2023","LT","DET","$15,000,000",""
"","Adoree' Jackson","2023","CB","NYG","$13,000,000",""
"","Deshaun Watson","2023","QB","CLE","$46,000,000",""
"","Braden Smith","2023","RT","IND","$17,500,000",""
"","Harold Landry","2023","OLB","TEN","$17,500,000",""
"","Josh Allen","2023","QB","BUF","$43,005,667",""
"","Courtland Sutton","2023","WR","DEN","$15,200,000",""
"","Justin Simmons","2023","FS","DEN","$15,250,000",""
"","Jamal Adams","2023","SS","SEA","$17,645,000",""
"","Matt Judon","2023","OLB","NE","$13,625,000",""
