"Rank","Player","Year","Pos","Team","AAV",""
"","Nathan MacKinnon","2023","C","COL","$12,600,000",""
"","Connor McDavid","2023","C","EDM","$12,500,000",""
"","Artemi Panarin","2023","LW","NYR","$11,642,857",""
"","Auston Matthews","2023","C","TOR","$11,640,250",""
"","Erik Karlsson","2023","D","SJS","$11,500,000",""
"","David Pastrnak","2023","RW","BOS","$11,250,000",""
"","Drew Doughty","2023","D","LAK","$11,000,000",""
"","John Tavares","2023","C","TOR","$11,000,000",""
"","Mitchell Marner","2023","RW","TOR","$10,903,000",""
"","Jonathan Huberdeau","2023","LW","CGY","$10,500,000",""
"","Carey Price","2023","G","MTL","$10,500,000",""
"","Aleksander Barkov","2023","C","FLA","$10,000,000",""
"","Sergei Bobrovsky","2023","G","FLA","$10,000,000",""
"","Anze Kopitar","2023","C","LAK","$10,000,000",""
"","Jack Eichel","2023","C","VGK","$10,000,000",""
"","Tyler Seguin","2023","C","DAL","$9,850,000",""
"","Johnny Gaudreau","2023","LW","CBJ","$9,750,000",""
"","Zachary Werenski","2023","D","CBJ","$9,583,333",""
"","Matthew Tkachuk","2023","LW","FLA","$9,500,000",""
"","Brayden Point","2023","C","TBL","$9,500,000",""
"","Nikita Kucherov","2023","RW","TBL","$9,500,000",""
"","Andrei Vasilevskiy","2023","G","TBL","$9,500,000",""
"","Adam Fox","2023","D","NYR","$9,500,000",""
"","Seth Jones","2023","D","CHI","$9,500,000",""
"","Mark Stone","2023","RW","VGK","$9,500,000",""
"","Alex Ovechkin","2023","LW","WAS","$9,500,000",""
"","Jamie Benn","2023","LW","DAL","$9,500,000",""
"","Charles Mcavoy","2023","D","BOS","$9,500,000",""
"","Darnell Nurse","2023","D","EDM","$9,250,000",""
"","Mikko Rantanen","2023","RW","COL","$9,250,000",""
"","Nicklas Backstrom","2023","C","WAS","$9,200,000",""
"","Mathew Barzal","2023","C","NYI","$9,150,000",""
"","Roman Josi","2023","D","NSH","$9,059,000",""
"","Kirill Kaprizov","2023","LW","MIN","$9,000,000",""
"","Cale Makar","2023","D","COL","$9,000,000",""
"","Dougie Hamilton","2023","D","NJD","$9,000,000",""
"","Jeff Skinner","2023","LW","BUF","$9,000,000",""
"","Alex Pietrangelo","2023","D","VGK","$8,800,000",""
"","Patrik Laine","2023","RW","CBJ","$8,700,000",""
"","Sidney Crosby","2023","C","PIT","$8,700,000",""
"","Dylan Larkin","2023","C","DET","$8,700,000",""
"","Leon Draisaitl","2023","C","EDM","$8,500,000",""
"","Bo Horvat","2023","C","NYI","$8,500,000",""
"","Mikhail Sergachev","2023","D","TBL","$8,500,000",""
"","Steven Stamkos","2023","C","TBL","$8,500,000",""
"","Mika Zibanejad","2023","C","NYR","$8,500,000",""
"","Filip Forsberg","2023","C","NSH","$8,500,000",""
"","Sebastian Aho","2023","LW","CAR","$8,454,000",""
"","Roope Hintz","2023","LW","DAL","$8,450,000",""
"","Miro Heiskanen","2023","D","DAL","$8,450,000",""
"","Tim Stützle","2023","C","OTT","$8,350,000",""
"","Jakub Voracek","2023","RW","ARI","$8,250,000",""
"","Blake Wheeler","2023","RW","WPG","$8,250,000",""
"","Brady Tkachuk","2023","LW","OTT","$8,214,286",""
"","Tomas Hertl","2023","C","SJS","$8,137,500",""
"","Jordan Kyrou","2023","C","STL","$8,125,000",""
"","Robert Thomas","2023","C","STL","$8,125,000",""
"","Jacob Trouba","2023","D","NYR","$8,000,000",""
"","Brent Burns","2023","D","CAR","$8,000,000",""
"","Thomas Chabot","2023","D","OTT","$8,000,000",""
"","J.T. Miller","2023","C","VAN","$8,000,000",""
"","Logan Couture","2023","C","SJS","$8,000,000",""
"","Matt Duchene","2023","C","NSH","$8,000,000",""
"","Ryan Johansen","2023","C","NSH","$8,000,000",""
"","John Carlson","2023","D","WAS","$8,000,000",""
"","Jack Hughes","2023","C","NJD","$8,000,000",""
"","Josh Norris","2023","C","OTT","$7,950,000",""
"","Victor Hedman","2023","D","TBL","$7,875,000",""
"","Kevin Fiala","2023","LW","LAK","$7,875,000",""
"","Nick Suzuki","2023","C","MTL","$7,875,000",""
"","Jesper Bratt","2023","LW","NJD","$7,875,000",""
"","Shea Weber","2023","D","ARI","$7,857,143",""
"","Quinn Hughes","2023","D","VAN","$7,850,000",""
"","Cole Caufield","2023","RW","MTL","$7,850,000",""
"","Evgeny Kuznetsov","2023","C","WAS","$7,800,000",""
"","Andrei Svechnikov","2023","RW","CAR","$7,750,000",""
"","Sean Couturier","2023","C","PHI","$7,750,000",""
"","Jason Robertson","2023","LW","DAL","$7,750,000",""
"","Jared Spurgeon","2023","D","MIN","$7,575,000",""
"","Aaron Ekblad","2023","D","FLA","$7,500,000",""
"","Morgan Rielly","2023","D","TOR","$7,500,000",""
"","Elias Pettersson","2023","C","VAN","$7,350,000",""
"","Nico Hischier","2023","C","NJD","$7,224,286",""
"","Clayton Keller","2023","C","ARI","$7,150,000",""
"","Kevin Hayes","2023","C","PHI","$7,142,857",""
"","Kyle Connor","2023","LW","WPG","$7,142,857",""
"","Tage Thompson","2023","C","BUF","$7,142,857",""
"","Dylan Cozens","2023","C","BUF","$7,100,000",""
"","Anders Lee","2023","C","NYI","$7,000,000",""
"","Nazem Kadri","2023","C","CGY","$7,000,000",""
"","Matthew Boldy","2023","LW","MIN","$7,000,000",""
"","Gabriel Landeskog","2023","LW","COL","$7,000,000",""
"","Marc-Edouard Vlasic","2023","D","SJS","$7,000,000",""
"","William Nylander","2023","C","TOR","$7,500,000",""
"","Brent Seabrook","2023","D","TBL","$6,875,000",""
"","Ivan Provorov","2023","D","CBJ","$6,750,000",""
"","Ryan McDonagh","2023","D","NSH","$6,750,000",""
"","Brock Boeser","2023","RW","VAN","$6,650,000",""
"","Torey Krug","2023","D","STL","$6,500,000",""
"","Colton Parayko","2023","D","STL","$6,500,000",""
"","Brayden Schenn","2023","C","STL","$6,500,000",""
"","Justin Faulk","2023","D","STL","$6,500,000",""
"","Sam Reinhart","2023","C","FLA","$6,500,000",""
"","Chris Kreider","2023","LW","NYR","$6,500,000",""
"","Claude Giroux","2023","C","OTT","$6,500,000",""
"","Cam Fowler","2023","D","ANA","$6,500,000",""
"","Brendan Gallagher","2023","RW","MTL","$6,500,000",""
"","Hampus Lindholm","2023","D","BOS","$6,500,000",""
"","John Gibson","2023","G","ANA","$6,400,000",""
"","Mattias Ekholm","2023","D","EDM","$6,250,000",""
"","MacKenzie Weegar","2023","D","CGY","$6,250,000",""
"","Anthony Cirelli","2023","C","TBL","$6,250,000",""
"","Matthew Murray","2023","G","TOR","$6,250,000",""
"","Travis Sanheim","2023","D","PHI","$6,250,000",""
"","Ryan Ellis","2023","D","PHI","$6,250,000",""
"","Damon Severson","2023","D","CBJ","$6,250,000",""
"","Jeff Petry","2023","D","PIT","$6,250,000",""
"","Joshua Morrissey","2023","D","WPG","$6,250,000",""
"","Connor Hellebuyck","2023","G","WPG","$6,166,667",""
"","Ryan Pulock","2023","D","NYI","$6,150,000",""
"","Valeri Nichushkin","2023","RW","COL","$6,125,000",""
"","Brad Marchand","2023","LW","BOS","$6,125,000",""
"","Mark Scheifele","2023","C","WPG","$6,125,000",""
"","Kris Letang","2023","D","PIT","$6,100,000",""
"","Evgeni Malkin","2023","C","PIT","$6,100,000",""
"","Brock Nelson","2023","C","NYI","$6,000,000",""
"","Jordan Binnington","2023","G","STL","$6,000,000",""
"","Jacob Markstrom","2023","G","CGY","$6,000,000",""
"","Mats Zuccarello-Aasen","2023","RW","MIN","$6,000,000",""
"","Jonas Brodin","2023","D","MIN","$6,000,000",""
"","Tyler Myers","2023","D","VAN","$6,000,000",""
"","Jake Guentzel","2023","C","PIT","$6,000,000",""
"","Taylor Hall","2023","LW","BOS","$6,000,000",""
"","Ondrej Palat","2023","LW","NJD","$6,000,000",""
"","Nikolaj Ehlers","2023","LW","WPG","$6,000,000",""
"","Rasmus Dahlin","2023","D","BUF","$6,000,000",""
"","Nate Schmidt","2023","D","WPG","$5,950,000",""
"","William Karlsson","2023","C","VGK","$5,900,000",""
"","Phillip Grubauer","2023","G","SEA","$5,900,000",""
"","Vladislav Gavrikov","2023","D","LAK","$5,875,000",""
"","Cameron Atkinson","2023","RW","PHI","$5,875,000",""
"","Neal Pionk","2023","D","WPG","$5,875,000",""
"","Nick Schmaltz","2023","C","ARI","$5,850,000",""
"","Adam Henrique","2023","C","ANA","$5,825,000",""
"","Pavel Buchnevich","2023","LW","STL","$5,800,000",""
"","Andrew Mangiapane","2023","LW","CGY","$5,800,000",""
"","Esa Lindell","2023","D","DAL","$5,800,000",""
"","Adam Pelech","2023","D","NYI","$5,750,000",""
"","T.J. Oshie","2023","RW","WAS","$5,750,000",""
"","Anthony Mantha","2023","RW","WAS","$5,700,000",""
"","Igor Shesterkin","2023","G","NYR","$5,666,667",""
"","Vincent Trocheck","2023","C","NYR","$5,625,000",""
"","Jacob Muzzin","2023","D","TOR","$5,625,000",""
"","Andrew Copp","2023","C","DET","$5,625,000",""
"","Zach Hyman","2023","C","EDM","$5,500,000",""
"","Phillip Danault","2023","C","LAK","$5,500,000",""
"","Adrian Kempe","2023","LW","LAK","$5,500,000",""
"","Andrei Kuzmenko","2023","LW","VAN","$5,500,000",""
"","Travis Konecny","2023","C","PHI","$5,500,000",""
"","Josh Anderson","2023","RW","MTL","$5,500,000",""
"","Andre Burakovsky","2023","LW","SEA","$5,500,000",""
"","Jaden Schwartz","2023","LW","SEA","$5,500,000",""
"","Jordan Eberle","2023","RW","SEA","$5,500,000",""
"","Teuvo Teravainen","2023","C","CAR","$5,400,000",""
"","Elvis Merzlikins","2023","G","CBJ","$5,400,000",""
"","Oliver Bjorkstrand","2023","RW","SEA","$5,400,000",""
"","Mikael Backlund","2023","C","CGY","$5,350,000",""
"","Jaccob Slavin","2023","D","CAR","$5,300,000",""
"","Bryan Little","2023","C","ARI","$5,291,000",""
"","Jakub Vrana","2023","LW","STL","$5,250,000",""
